Date modified,รหัสสินค้า,ชื่อสินค้า,ชื่อร้านค้า,CommissionRate,CommissionAmount,ลิงก์สินค้า,ลิงก์ข้อเสนอ,PriceDisplay,SoldDisplay,PriceValue,SoldValue,SoldBucket,SoldScore,PriceBucket,PriceScore,CommissionBucket,CommissionScore,MiniBossScore
19/07/2026 11:35,26388709371,สายคาดธนบัตร สายรัดเงิน สายคาดแบงค์ (ใช้ได้กับทุกแบงค์),รักออม,0.17,4.93,https://shopee.co.th/product/67531827/26388709371,https://s.shopee.co.th/AAFgGBncHi,29,10พัน+,29,10000,10K-19K,6,Budget,5,Excellent,5,5.4
19/07/2026 11:35,27701431678,SamuGiken C15 PRO เครื่องปริ้นไร้หมึก (เมนูไทย) เครื่องปริ้นพกพา เครื่องปริ้นสติ๊กเกอร์ พิมพ์ที่อยู่ รูปภาพ ฟรี6ม้วน,Samu Giken Official,0.1,5.5,https://shopee.co.th/product/1044053454/27701431678,https://s.shopee.co.th/9zwG3soFch,55,20พัน+,55,20000,20K-49K,7,Budget,5,Good,4,5.45
19/07/2026 11:35,17230836788,แผ่นรองเมาส์ คีย์ลัดไทย ขนาดใหญ่ 80X30 cm  และลายอื่นๆ เยอะ เยอะ เกมส์มิ่ง Gaming MousePad 🌈,ตี๋น้อย ไอ.ที.2020,0.12,10.08,https://shopee.co.th/product/315713905/17230836788,https://s.shopee.co.th/9pcprZosxg,84,20พัน+,84,20000,20K-49K,7,Budget,5,Good,4,5.45
19/07/2026 11:35,24751986255,"คีย์บอร์ดไทย ใหม่แบ็คไลท์ไล่โทนสี Bluetooth keyboard,เมาส์ไร้สาย คีย์บอร์ดไร้สาย ใช้ได้กับ/คอมพิวเตอร์ พกพาง่าย",MEGA.Home,0.15,9.9,https://shopee.co.th/product/1100289317/24751986255,https://s.shopee.co.th/9fJPfGpWIf,66,20พัน+,66,20000,20K-49K,7,Budget,5,Excellent,5,5.8
19/07/2026 11:35,3283302484,LENODI เครื่องทำลายเอกสารอัตโนมัติ ย่อยกระดาษ A4 ขนาด 13 ลิตร อุปกรณ์สำนักงาน เครื่องทำลายเอกสาร A4,LENODI Franchise Store,0.04,6.72,https://shopee.co.th/product/393835155/3283302484,https://s.shopee.co.th/9UzzSxq9de,168,10พัน+,168,10000,10K-19K,6,Low,4,Low,1,3.75
19/07/2026 11:35,40758433371,เครื่องปริ๊นเรซิ่น Anycubic Photon Mono M7 Max  รับประกันอะไหล่ 1ปี แถมเรซิ่น 4kg.,Ranchida_1986,0.1,3588.8,https://shopee.co.th/product/67428380/40758433371,https://s.shopee.co.th/9KgZGeqmyd,35.9พัน,8,35900,8,<100,1,High-End,1,Good,4,2.05
19/07/2026 11:35,25262667287,ที่วางโต๊ะทำงาน มีลิ้นชัก เพิ่มความสูงของจอแสดงผล บนโต๊ะทำงาน ชั้นวางคอมพิวเตอร์ บนโต๊ะ ชั้นวางจอคอม,JeeJaMall,0.07,3.85,https://shopee.co.th/product/297045069/25262667287,https://s.shopee.co.th/6VMNtS1Zj6,55,10พัน+,55,10000,10K-19K,6,Budget,5,Normal,2,4.35
19/07/2026 11:35,22561694126,คีย์บอร์ด ipad เมาส์ไร้สาย พกพาง่าย แป้นพิมพ์บลูทูธ แท็บเล็ต,BOB.home,0.09,5.13,https://shopee.co.th/product/1100822656/22561694126,https://s.shopee.co.th/6L2xh92D45,57,10พัน+,57,10000,10K-19K,6,Budget,5,Normal,2,4.35
19/07/2026 11:35,20548372610,27 นิ้ว จอคอมพิวเตอร์ 144hz 165hz จอคอม monitor 24 นิ้ว จอคอมพิวเตอร์ 2K จอโค้ง IPS 1MS เต็มจอไร้ขอบ,MaLeeMall,0.07,76.93,https://shopee.co.th/product/295888547/20548372610,https://s.shopee.co.th/6AjXUq2qP4,1.1พัน,9พัน+,1100,9000,5K-9K,5,Premium,2,Normal,2,3.2
19/07/2026 11:35,10621428526,"JAERSENT สายแลน3m~50m ​Cat 6 UTP Gigabit สายเคเบิลเครือข่ายอีเธอร์เน็ต RJ45 สายแพทช์แลน สำหรับ PC แล็ปท็อป, เราเตอร",JAERSENT,0.12,5.64,https://shopee.co.th/product/495287294/10621428526,https://s.shopee.co.th/60Q7IX3Tk3,47,50พัน+,47,50000,50K+,8,Budget,5,Good,4,5.85
19/07/2026 11:35,25000630528,แผ่นรองเมาส์คีย์ลัดภา อุปกรณ์สำนักงาน แผ่นรองเมาส์ แผ่นรองเมาส์คีย์ลัด,BOB.home,0.09,3.78,https://shopee.co.th/product/1100822656/25000630528,https://s.shopee.co.th/5q6h6E4752,42,20พัน+,42,20000,20K-49K,7,Budget,5,Normal,2,4.75
19/07/2026 11:35,52707152934,MAIMOOO Thai Keycap Hello Kitty Keycap MOA Profile 120 คีย์ PBT Dye Sublimation Aula F75 F99 RK100 สีแดงการ์ตูนลูกแมว Sanrio Keycaps น่ารัก Kitty ไทย Keycaps,easytime.th,0.06,53.4,https://shopee.co.th/product/756639335/52707152934,https://s.shopee.co.th/5fnGtv4kQ1,890,104,890,104,100-499,2,Premium,2,Normal,2,2
19/07/2026 11:35,5318990901,Peripage A6 P21 เครื่องปริ้นไร้หมึก (เมนูไทย)  flash Keery best เครื่องปริ้นเตอร์ peripage เพิ่ม20บาท ได้เคส,strawberrymall,0.09,62.01,https://shopee.co.th/product/226524050/5318990901,https://s.shopee.co.th/5VTqhc5Nl0,689,20พัน+,689,20000,20K-49K,7,Medium,3,Normal,2,4.25
19/07/2026 11:35,11115584406,(พร้อมส่ง) เครื่องเคลือบบัตรA4 รุ่นใหม่ Laminator รุ่นSL299 เครื่องเคลือบกระดาษ ABSปุ่มป้องกันการ์ด,SmartSiam,0.07,32.83,https://shopee.co.th/product/320016858/11115584406,https://s.shopee.co.th/5LAQVJ615z,469,30พัน+,469,30000,20K-49K,7,Medium,3,Normal,2,4.25
19/07/2026 11:35,5834843005,แผ่นรองเม้าส์ 300x800x3 มม. แผ่นรองเมาส์ ที่รองเมาส์ Mouse Pad แผ่นรองเม้าส์ขนาดใหญ่ เมาส์,easytopurchase,0.09,6.21,https://shopee.co.th/product/239957265/5834843005,https://s.shopee.co.th/7prlTtwV1U,69,20พัน+,69,20000,20K-49K,7,Budget,5,Normal,2,4.75
19/07/2026 11:35,49605516581,🍎⌨️{พร้อมส่ง! } [พร้อมส่ง] Hello Kitty ปุ่มคีย์บอร์ดคิตตี้ เฮลโลคิตตี้ คีย์บอร์ด พร้อมใช้ได้เลย🍎⭐️👀,thanathipimport,0.07,5.25,https://shopee.co.th/product/1134561944/49605516581,https://s.shopee.co.th/7fYLHax8MT,75,166,75,166,100-499,2,Budget,5,Normal,2,2.75
19/07/2026 11:35,27963323843,【โปรโมชั่นราคาเบาๆ】แถบไฟ RGB ซิงโครไนซ์หน้าจอคอมพิวเตอร์ USB 5V สีดรีม สําหรับห้องเล่นเกม,SK HOME & LIVING,0.17,50.15,https://shopee.co.th/product/378307717/27963323843,https://s.shopee.co.th/7VEv5HxlhS,295,4พัน+,295,4000,1K-4K,4,Low,4,Excellent,5,4.35
19/07/2026 11:35,24139270787,"Arzopa 27"" 180HZ Gaming Monitor - M1RC, รับประกัน 3 ปี - 2K QHD 2560x1440 IPS Monitor, 115% sRGB Adaptive-Sync 1ms, 1x Display Port 1.4, 1x HDMI 2.0, 1x USB C",ARZOPA Official Store,0.1,517.9,https://shopee.co.th/product/1311481478/24139270787,https://s.shopee.co.th/7KvUsyyP2R,5.2พัน,2พัน+,5200,2000,1K-4K,4,High-End,1,Good,4,3.25
19/07/2026 11:35,27203038901,ชั้นวางจอคอม ขาตั้งจอคอม ชั้นวางคอม ชั้นวางบนโต๊ะทํางาน พร้อมที่เก็บคีย์บอร์ด Onesuper,onesuper,0.06,6.48,https://shopee.co.th/product/567457225/27203038901,https://s.shopee.co.th/7Ac4gfz2NQ,108,10พัน+,108,10000,10K-19K,6,Low,4,Normal,2,4.1
19/07/2026 11:35,40758781495,Ghost on Board คีย์แคปเงาสุสาน เมื่อปุ่มกดกลายเป็นที่สิงสู่วิญญาณ Keycap Mechanical Ghost,คลังเศรษฐี ของมงคลเรียกทรัพย์,0.12,22.92,https://shopee.co.th/product/150451130/40758781495,https://s.shopee.co.th/70IeUMzfiP,191,209,191,209,100-499,2,Low,4,Good,4,3.2
19/07/2026 11:35,16243715343,เร้าเตอร์ใส่ซิม เราเตอร์ 4G/5G Router wifi 300 Mbps 2.4Ghz ใช้ได้กับซิมทุกเครือข่าย เสียบใช้เลย,DaisyMall,0.07,69.93,https://shopee.co.th/product/301326056/16243715343,https://s.shopee.co.th/6pzEI40J3O,999,20พัน+,999,20000,20K-49K,7,Premium,2,Normal,2,4
19/07/2026 11:35,19444868849,"แท้100% Brother หมึก BT-D60BK, BT5000C/M/Y 4สี   DCP-T220 T310 T420W T510W T520W T710W T720W T820W T910W",Printer_ink_store,0.09,23.22,https://shopee.co.th/product/857345185/19444868849,https://s.shopee.co.th/6ffo5l0wON,258,10พัน+,258,10000,10K-19K,6,Low,4,Normal,2,4.1
19/07/2026 11:35,24906288415,แผ่นรองเมาส์คีย์ลัดภาษาไทย ขนาดใหญ่ ของขวัญ แผ่นรองคีย์บอร์ด อุปกรณ์สำนักงาน ปุ่มทางลัดของแผ่นรองเมาส์,niti.home,0.15,6.15,https://shopee.co.th/product/1147728167/24906288415,https://s.shopee.co.th/3qLciYBj8q,41,10พัน+,41,10000,10K-19K,6,Budget,5,Excellent,5,5.4
19/07/2026 11:35,26760259761,⚡พร้อมส่งจากไทย⚡Crayon Shin-chan คีย์แคปไทย keycapsไทย Kuromi ใช้สำหรับ mechanical keyboardส่วนใหญ่,Dahlian,0.1,29.9,https://shopee.co.th/product/1049686926/26760259761,https://s.shopee.co.th/3g2CWFCMTp,299,1พัน+,299,1000,1K-4K,4,Low,4,Good,4,4
19/07/2026 11:35,24083699889,"ARZOPA Z1FC จอมอนิเตอร์พกพา 16.1"" 144Hz FHD 1080P บางเฉียบ HDR 106% sRGB เล่นเกม/ทำงาน รองรับ PS5, PC, แล็ปท็อป, Xbox",ARZOPA Official Store,0.12,489.48,https://shopee.co.th/product/1311481478/24083699889,https://s.shopee.co.th/3VimJwCzoo,4.1พัน,6พัน+,4100,6000,5K-9K,5,High-End,1,Good,4,3.65
19/07/2026 11:35,11438392633,"เครื่องเก็บเงิน Loyverse POS 10.1""  เครื่องพิมพ์บลูทูธ 58mm ฝาฟ้า ลิ้นชักเก็บเงินอัตโนมัติ เครื่องแคชเชียร์",LOYVERSE THAI,0.08,519.2,https://shopee.co.th/product/42865931/11438392633,https://s.shopee.co.th/3LPM7dDd9n,6.5พัน,2พัน+,6500,2000,1K-4K,4,High-End,1,Normal,2,2.55
19/07/2026 11:35,16937233942,VIQOO ที่ตั้งคอม อลูมิเนียม แท่นวางโน๊ตบุค ขาตั้งโน๊ตบุ๊ค ขาตั้งแล็ปท็อป Laptop stand ที่วางจอคอม โต๊ะวางคอม จัดเก็บ,ViiQ Thailand 2016,0.12,8.16,https://shopee.co.th/product/735032815/16937233942,https://s.shopee.co.th/3B5vvKEGUm,68,10พัน+,68,10000,10K-19K,6,Budget,5,Good,4,5.05
19/07/2026 11:35,29356072429,คีย์แคปศาล ศาลพระภูมิเก่า Keycap ปลุกความหลอนให้เพื่อนของคุณ และมอบให้คนที่รัก,คลังเศรษฐี ของมงคลเรียกทรัพย์,0.12,29.88,https://shopee.co.th/product/150451130/29356072429,https://s.shopee.co.th/30mVj1Etpl,249,757,249,757,500-999,3,Low,4,Good,4,3.6
19/07/2026 11:35,24589376908,(มีโค้ดลด2000฿) Gigabyte AERO RTX 5060 5060Ti  4060Ti ประกันยาวมาก สภาพ 100%,EZGGTECH,0.105,629.9,https://shopee.co.th/product/22062191/24589376908,https://s.shopee.co.th/2qT5WiFXAk,6.0พัน,16,6000,16,<100,1,High-End,1,Good,4,2.05
19/07/2026 11:35,6402445144,⚡️ส่งไว ⚡️หมึกRefill ink CANON คุณภาพพรีเมี่ยมGI-790 สำหรับปรินเตอร์ รุ่น G1010/G2010/G3010⚡️สีสดเข้ม คมชัด คุณภาพที่สุด,PHIMTHONG OFFICIAL,0.06,2.64,https://shopee.co.th/product/39236468/6402445144,https://s.shopee.co.th/2g9fKPGAVj,44,10พัน+,44,10000,10K-19K,6,Budget,5,Normal,2,4.35
19/07/2026 11:35,26419461849,【รับประกัน 1 ปี】🔥🔥ขาตั้งแล็ปท็อป แท่นวางโน๊ตบุ๊ค ที่วางแล็ปท็อป อลูมิเนียม ที่วาง พับเก็บได้ กันลื่น ปรับได้ 8 ระดับ,KQNTO LIFE,0.15,25.05,https://shopee.co.th/product/1171238653/26419461849,https://s.shopee.co.th/5Ar0J06eRE,167,10พัน+,167,10000,10K-19K,6,Low,4,Excellent,5,5.15
19/07/2026 11:35,21431305183,GOOJODOQ ไทยแลนด์สปอต คีย์บอร์ดภาษาไทย/เมาส์ไร้สาย เข้ากันได้กับโทรศัพท์มือถือ แท็บเล็ต คอมพิวเตอร์ คีย์บอร์ดบลูทูธไร้สาย คีย์บอร์ด RGB ทัชแพด,GOOJODOQ Mall Store,0.11,9.9,https://shopee.co.th/product/813485708/21431305183,https://s.shopee.co.th/50Xa6h7HmD,90,30พัน+,90,30000,20K-49K,7,Budget,5,Good,4,5.45
19/07/2026 11:35,13314707208,27นิ้ว จอมอนิเตอร์ จอคอม 165HZ หน้าจอโค้ง จอเกมมิ่ง 4K LED Gaming monitor จอมอนิเตอร์เกมมิ่ง จอมอนิเตอ สปอตสินค้า,UQREEN Mall,0.09,98.91,https://shopee.co.th/product/453316153/13314707208,https://s.shopee.co.th/4qE9uO7v7C,1.1พัน,10พัน+,1100,10000,10K-19K,6,Premium,2,Normal,2,3.6
19/07/2026 11:35,4655314172,✨ หมึกเติม เอปสัน 003 💎น้ำหมึกเทียบเท่าเกรดพรีเมี่ยม For  L3210 / L3250  ราคาถูก  / หมึกพิมพ์  เครื่องปริ้น EPSON 003,ตี๋น้อย ไอ.ที.2020,0.12,5.76,https://shopee.co.th/product/315713905/4655314172,https://s.shopee.co.th/4fuji58YSB,48,40พัน+,48,40000,20K-49K,7,Budget,5,Good,4,5.45
19/07/2026 11:35,42007328354,75cm ชั้นวางจอคอม ชั้นวางจอ ชั้นวาง โต๊ะวางคอม จัดเก็บของ จัดระเบียบเดสก์ท็อปเพิ่มความสูงของจอมอ,leego.th,0.08,4.08,https://shopee.co.th/product/179116239/42007328354,https://s.shopee.co.th/4VbJVm9BnA,51,10พัน+,51,10000,10K-19K,6,Budget,5,Normal,2,4.35
19/07/2026 11:35,3831997003,Sticker Keyboard Thai / English แบบ3M สติกเกอร์ ภาษาไทย-อังกฤษสำหรับติดคีย์บอร์ด,UU CENTER,0.07,0.56,https://shopee.co.th/product/196012402/3831997003,https://s.shopee.co.th/4LHtJT9p89,8,30พัน+,8,30000,20K-49K,7,Budget,5,Normal,2,4.75
19/07/2026 11:35,42952007778,"(สินค้าขายดี) DAHUA LM24-B221 จอมอนิเตอร์ ขนาด 23.8″ และ LM27-B221 จอขนาด 27 "" IPS Full HD 144hz ประกันสินค้า 3 ปี",DAHUA.Thailand,0.12,310.8,https://shopee.co.th/product/1036975406/42952007778,https://s.shopee.co.th/4AyT7AAST8,2.6พัน,2พัน+,2600,2000,1K-4K,4,High-End,1,Good,4,3.25
19/07/2026 11:35,43002402961,ขายส่ง แฟลชไดรฟ์ USB หมุนได้ ไดรฟ์ปากกา 4GB 8GB 16GB 32GB 64GB แท่ง USB ความเร็วสูง 2. 0 แฟลชไดรฟ์ Pendrive โลโก้ที่กําหนดเอง,qibaishun.th,0.06,2.94,https://shopee.co.th/product/417261217/43002402961,https://s.shopee.co.th/40f2urB5o7,49,20พัน+,49,20000,20K-49K,7,Budget,5,Normal,2,4.75
19/07/2026 11:35,40431227316,(แผ่นรองเม้าส์ขนาดใหญ่)MOFii MEOW MEOW DESKMAT สุดมินิมอล ช่วยแต่งเติมโต๊ะทำงาน มี 30 เฉดสีคุณภาพสูง,MOFii Official Store,0.12,23.88,https://shopee.co.th/product/45591359/40431227316,https://s.shopee.co.th/1BKrXeLsYa,199,259,199,259,100-499,2,Low,4,Good,4,3.2
19/07/2026 11:35,42914992490,คีย์แคป วัสดุ PBT สีพลาสเทลน่ารัก ประกอบด้วย 125 ชิ้น สำหรับโปรเจ็กต์คีย์แคป keycaps สนับสนุนตามหลัก,87esd,0.09,26.91,https://shopee.co.th/product/258394812/42914992490,https://s.shopee.co.th/111RLLMVtZ,299,125,299,125,100-499,2,Low,4,Normal,2,2.5
19/07/2026 11:35,18213879633,สายแลนอีเธอร์เน็ต สายแลน CAT 6 LAN ความเร็วสูง CAT6 RJ45 3 ม.-50 ม.,JAERESENT,0.1,5.8,https://shopee.co.th/product/790927077/18213879633,https://s.shopee.co.th/qi192N9EY,58,10พัน+,58,10000,10K-19K,6,Budget,5,Good,4,5.05
19/07/2026 11:35,27484570674,USB 2.0 แฟลชไดรฟ์โลหะ 128GB กันน้ําหน่วยความจําแบบพกพา Stick 64GB ไดรฟ์ปากกา 32GB pendrive 16GB 8GB U Disk 4GB,StarsBuy_Flash Drive,0.12,7.56,https://shopee.co.th/product/1519749517/27484570674,https://s.shopee.co.th/gOawjNmZX,63,10พัน+,63,10000,10K-19K,6,Budget,5,Good,4,5.05
19/07/2026 11:35,43480940438,COD แผ่นรองเมาส์ แผ่นรองโต๊ะ ขนาดใหญ่ 35*80CM วัสดุ PU กันน้ํา แผ่นรองคีย์บอร์ด เม้าส์ น่ารัก,CURATE HOME1,0.17,17.85,https://shopee.co.th/product/1668906900/43480940438,https://s.shopee.co.th/W5AkQOPuW,105,1พัน+,105,1000,1K-4K,4,Low,4,Excellent,5,4.35
19/07/2026 11:35,8144500479,✨ แป้นภาษไทย คีย์บอร์ด & เมาส์ ไฟสีรุ้ง สาย usb 🌈 LIMEIDE GTX300 Gaming USB Keyboard mouse RGB LED ✨,Sydney_shop,0.1,6.2,https://shopee.co.th/product/166537816/8144500479,https://s.shopee.co.th/LlkY7P3FV,62,40พัน+,62,40000,20K-49K,7,Budget,5,Good,4,5.45
19/07/2026 11:35,4488867426,เครื่องเคลือบบัตร เครื่องเคลือบเอกสาร A4 Laminat,Hobo.mall,0.02,6.7,https://shopee.co.th/product/431661323/4488867426,https://s.shopee.co.th/BSKLoPgaU,335,10พัน+,335,10000,10K-19K,6,Medium,3,Low,1,3.5
19/07/2026 11:35,13368377848,[จำกัด 2 เครื่อง/ออเดอร์] Canon เครื่องพิมพ์อิงค์เจ็ท PIXMA รุ่น E4570 เครื่องพรินต์แบบ All in One *รองรับ Mac OS,Canon Flagship Store,0.1,329,https://shopee.co.th/product/226811618/13368377848,https://s.shopee.co.th/18u9VQJvT,3.3พัน,2พัน+,3300,2000,1K-4K,4,High-End,1,Good,4,3.25
19/07/2026 11:35,22744093022,Notebook stand วัสดุเหล็ก แท่นวางโน๊ตบุ๊ค ปรับได้อย่างอิสระ 360องศา พับเก็บได้ ที่วางไอแพด แท็บเล็ต ขาตั้งแล็ป รุ่น N16,friday1995,0.11,25.96,https://shopee.co.th/product/31399390/22744093022,https://s.shopee.co.th/2VqF86Gnqy,236,30พัน+,236,30000,20K-49K,7,Low,4,Good,4,5.2
19/07/2026 11:35,24934863316,GOOJODOQ Triple Connectivity Mouse 2.4GHz และการออกแบบตามหลักสรีรศาสตร์เงียบ Bluetooth คู่พร้อมจอแสดงผล LED และการปรับ DPI,GOOJODOQ Mall Store,0.11,31.24,https://shopee.co.th/product/813485708/24934863316,https://s.shopee.co.th/2LWovnHRBx,284,20พัน+,284,20000,20K-49K,7,Low,4,Good,4,5.2
19/07/2026 11:35,28820456615,(มีโค้ดลด2000฿) RTX 5060 5060Ti 5060 ti 2060Super 3060 3060Ti 3070 3070Ti 4060 4060Ti 4070 4070Ti 4080 4090 5080 5090,EZGGTECH,0.105,523.95,https://shopee.co.th/product/22062191/28820456615,https://s.shopee.co.th/2BDOjUI4Ww,5.0พัน,23,5000,23,<100,1,High-End,1,Good,4,2.05
19/07/2026 11:35,28350950967,PETG Filament เส้นพลาสติกสำหรับเครื่องพิมพ์ 3 มิติ สีพื้นฐาน ขนาด 1.75mm แบรนด์ R3D,sLab3D - เอสแล็บทรีดี,0.11,22.88,https://shopee.co.th/product/100955195/28350950967,https://s.shopee.co.th/20tyXBIhrv,208,20พัน+,208,20000,20K-49K,7,Low,4,Good,4,5.2
19/07/2026 11:35,26260374519,8 in 2 USB hubs Multiport Dock รองรับ TF/PD อ่าน USB 3.5 มม. Audio TYPE C Multi-Port รองรับคอมพิวเตอร์ช่อง TYPE-C ทุกรุ่น,แรบบิท อิเล็กทรอนิกส์,0.12,13.44,https://shopee.co.th/product/1222689100/26260374519,https://s.shopee.co.th/1qaYKsJLCu,112,3พัน+,112,3000,1K-4K,4,Low,4,Good,4,4
19/07/2026 11:35,5986350938,✨ ชุดคีย์บอร์ดและเมาส์ ไฟสีรุ้ง แป้นไทย 🌈 LIMEIDE GTX300 Gaming Keyboard mouse Rainbow RGB LED Illuminated ✨,Berlin_shop,0.1,6.9,https://shopee.co.th/product/414803947/5986350938,https://s.shopee.co.th/1gH88ZJyXt,69,10พัน+,69,10000,10K-19K,6,Budget,5,Good,4,5.05
19/07/2026 11:35,44223456814,Looms  เคาน์เตอร์ครัว รุ่น PEPPER 120-A&B สีขาวตัดสีโซลิดโอ๊ค,Looms Official,0.07,266,https://shopee.co.th/product/752155244/44223456814,https://s.shopee.co.th/1VxhwGKbss,3.8พัน,181,3800,181,100-499,2,High-End,1,Normal,2,1.75
19/07/2026 11:35,16829840088,[I005]หมึก canon g2010 แท้💯%ต้นฉบับภาษาญี่ปุ่นGI-790/G1000 / G2000 / G3000 / G1010 / G2010 / G3010,San Home Shop,0.07,2.03,https://shopee.co.th/product/668092979/16829840088,https://s.shopee.co.th/1LeHjxLFDr,29,10พัน+,29,10000,10K-19K,6,Budget,5,Normal,2,4.35
19/07/2026 11:35,9314806655,ที่วางของหน้าคอม ที่วางจอคอม ชั้นวางจอคอม ชั้นวางของ รุ่นไม้หนา 1.6 นิ้ว สีขาว ผลิตจากโรงงานไทย คุณภาพดี,BaanStyleShop,0.12,8.28,https://shopee.co.th/product/374587281/9314806655,https://s.shopee.co.th/903is2s3fM,69,10พัน+,69,10000,10K-19K,6,Budget,5,Good,4,5.05
19/07/2026 11:35,20575371730,"GOOJODOQ คีย์บอร์ดไทย ใหม่แบ็คไลท์ไล่โทนสี Bluetooth keyboard,เมาส์ไร้สาย,คีย์บอร์ด ipad",GOOJODOQ Mall Store,0.11,11.55,https://shopee.co.th/product/813485708/20575371730,https://s.shopee.co.th/9AN94LrQKP,105,20พัน+,105,20000,20K-49K,7,Low,4,Good,4,5.2
19/07/2026 11:35,24062415569,"⚡ส่งจาก กทม⚡ Idigital สายอินเตอร์เน็ต CAT8 Ethernet Cable, สายแลน, RJ45, 40Gbps, 2000MHz, สัญญาณรวดเร็วและเสถีย",Idigital Thailand Store,0.17,13.43,https://shopee.co.th/product/988661099/24062415569,https://s.shopee.co.th/8fQsTQtKLK,79,10พัน+,79,10000,10K-19K,6,Budget,5,Excellent,5,5.4
